//X,Y,Z,Temp. approx. distances,Roughness (1.22938),Mean curvature (1.22938),Gaussian curvature (1.22938),Normal change rate (1.22938),Number of neighbors (r=1.22938),Surface density (r=1.22938),Volume density (r=1.22938),Eigenvalues sum (1.22938),Omnivariance (1.22938),Eigenentropy (1.22938),Anisotropy (1.22938),Planarity (1.22938),Linearity (1.22938),PCA1 (1.22938),PCA2 (1.22938),Surface variation (1.22938),Sphericity (1.22938),Verticality (1.22938),Nx,Ny,Nz
-10.31399536,18.94324112,8.12399960,-0.100115,0.000198,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
-15.46999550,18.94324112,8.12399960,-0.059149,0.000196,0.001034,0.000000,0.000000,21.000000,4.422805,2.698195,0.632289,0.002451,0.723161,1.000000,0.777684,0.222316,0.562530,0.437470,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
11.71800613,18.94324112,8.12399960,-0.064133,0.000196,0.001034,0.000000,0.000000,21.000000,4.422805,2.698195,0.632288,0.002451,0.723161,1.000000,0.777686,0.222314,0.562529,0.437471,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
11.25000763,18.94324112,8.12399960,-0.064159,0.000198,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
8.43600464,18.94324112,8.12399960,-0.076609,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
7.96800613,19.21323776,7.81200027,-0.094937,0.000410,0.000208,0.000000,0.000000,21.000000,4.422805,2.698195,0.632238,0.003061,0.723148,0.999999,0.777539,0.222460,0.562575,0.437425,0.000000,0.000001,0.345150,0.001377,-0.756234,-0.654300
6.56200409,18.94324112,8.12399960,-0.074703,0.000196,0.001034,0.000000,0.000000,21.000000,4.422805,2.698195,0.632289,0.002451,0.723161,1.000000,0.777684,0.222316,0.562530,0.437470,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
14.99800491,18.94324112,8.12399960,-0.075057,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
8.90600586,18.94324112,8.12399960,-0.059787,0.000198,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,-0.001377,-0.756234,-0.654300
9.84200668,18.94324112,8.12399960,-0.080348,0.000196,0.001033,0.000000,0.000000,21.000000,4.422805,2.698195,0.632200,0.002451,0.723158,1.000000,0.777879,0.222121,0.562468,0.437532,0.000000,0.000000,0.345070,0.001377,-0.756234,-0.654300
